Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda065398,,azithromycin,azithromycin,lupin ltd,small molecule,tablet,oral,approved,authorised,15.05.2015,2015,no,,,,infectious and parasitic diseases; diseases of the respiratory system; diseases of the skin; diseases of the genitourinary system; diseases of the ear and mastoid process,,,yes,,,lupin,FDA,"1 indications and usage azithromycin tablets are a macrolide antibacterial drug indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions listed below. recommended dosages and durations of therapy in adult and pediatric patient populations vary in these indications. [see dosage and administration (2) ] azithromycin tablets are a macrolide antibacterial drug indicated for mild to moderate infections caused by designated, susceptible bacteria: acute bacterial exacerbations of chronic bronchitis in adults (1.1) acute bacterial sinusitis in adults (1.1) uncomplicated skin and skin structure infections in adults (1.1) urethritis and cervicitis in adults (1.1) genital ulcer disease in men (1.1) acute otitis media in pediatric patients (6 months of age and older) (1.2) community-acquired pneumonia in adults and pediatric patients (6 months of age and older) (1.1 , 1.2) pharyngitis/tonsillitis in adults and pediatric patients (2 years of age and older) (1.1 , 1.2) limitation of use: azithromycin should not be used in patients with pneumonia who are judged to be inappropriate for oral therapy because of moderate to severe illness or risk factors. (1.3) to reduce the development of drug-resistant bacteria and maintain the effectiveness of azithromycin tablets and other antibacterial drugs, azithromycin tablets should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. (1.4) 1.1 adult patients acute bacterial exacerbations of chronic bronchitis due to haemophilus influenzae , moraxella catarrhalis, or streptococcus pneumoniae . acute bacterial sinusitis due to haemophilus influenzae , moraxella catarrhalis or streptococcus pneumoniae . community-acquired pneumonia due to chlamydophila pneumoniae , haemophilus influenzae , mycoplasma pneumoniae, or streptococcus pneumoniae in patients appropriate for oral therapy. pharyngitis/tonsillitis caused by streptococcus pyogenes as an alternative to first-line therapy in individuals who cannot use first-line therapy. uncomplicated skin and skin structure infections due to staphylococcus aureus , streptococcus pyogenes , or streptococcus agalactiae . urethritis and cervicitis due to chlamydia trachomatis or neisseria gonorrhoeae . genital ulcer disease in men due to haemophilus ducreyi (chancroid). due to the small number of women included in clinical trials, the efficacy of azithromycin in the treatment of chancroid in women has not been established. 1.2 pediatric patients [see use in specific populations (8.4) and clinical studies (14.2) ] acute otitis media ( >6 months of age) caused by haemophilus influenzae , moraxella catarrhalis, or streptococcus pneumoniae. community-acquired pneumonia ( >6 months of age) due to chlamydophila pneumoniae , haemophilus influenzae , mycoplasma pneumoniae , or streptococcus pneumoniae in patients appropriate for oral therapy. pharyngitis/tonsillitis (>2 years of age) caused by streptococcus pyogenes as an alternative to first-line therapy in individuals who cannot use first-line therapy. 1.3 limitations of use azithromycin should not be used in patients with pneumonia who are judged to be inappropriate for oral therapy because of moderate to severe illness or risk factors such as any of the following: patients with cystic fibrosis, patients with nosocomial infections, patients with known or suspected bacteremia, patients requiring hospitalization, elderly or debilitated patients, or patients with significant underlying health problems that may compromise their ability to respond to their illness (including immunodeficiency or functional asplenia). 1.4 usage to reduce the development of drug-resistant bacteria and maintain the effectiveness of azithromycin and other antibacterial drugs, azithromycin should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",fda,no,"<chronic bronchitis>; <sinusitis>; <skin diseases, bacterial>; <urethritis>; <cervicitis>; <genital ulcer disease>; <otitis media>; <pneumonia>; <pharyngitis>; <tonsillitis>",
anda065399,,azithromycin,azithromycin,lupin ltd,small molecule,tablet,oral,approved,authorised,15.05.2015,2015,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda065400,,azithromycin,azithromycin,lupin ltd,small molecule,tablet,oral,approved,authorised,15.05.2015,2015,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda065404,,azithromycin,azithromycin,chartwell rx,small molecule,tablet,oral,approved,authorised,11.02.2008,2008,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda065405,,azithromycin,azithromycin,chartwell rx,small molecule,tablet,oral,approved,authorised,11.02.2008,2008,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda065419,,azithromycin,azithromycin,teva pharms,small molecule,suspension,oral,approved,discontinued,24.06.2008,2008,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda065488,,azithromycin,azithromycin,chartwell rx,small molecule,suspension,oral,approved,authorised,15.05.2015,2015,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda065500,,azithromycin,azithromycin,hospira,small molecule,injectable,injection,approved,authorised,26.06.2009,2009,no,,,,,,,yes,,,hospira,FDA,,fda,no,,
anda065501,,azithromycin,azithromycin,gland pharma ltd,small molecule,injectable,injection,approved,authorised,09.11.2009,2009,no,,,,,,,yes,,,gland,FDA,,fda,no,,
anda065506,,azithromycin,azithromycin,norvium bioscience,small molecule,injectable,injection,approved,discontinued,24.03.2009,2009,no,,,,,,,yes,,,norvium,FDA,,fda,no,,
anda065507,,azithromycin,azithromycin,apotex corp,small molecule,tablet,oral,approved,discontinued,13.07.2011,2011,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
anda065508,,azithromycin,azithromycin,apotex corp,small molecule,tablet,oral,approved,discontinued,13.07.2011,2011,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
anda065509,,azithromycin,azithromycin,apotex corp,small molecule,tablet,oral,approved,discontinued,13.07.2011,2011,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
anda065511,,azithromycin,azithromycin,hospira,small molecule,injectable,injection,approved,discontinued,26.06.2009,2009,no,,,,,,,yes,,,hospira,FDA,,fda,no,,
anda090923,,azithromycin,azithromycin,sun pharm inds ltd,,injectable,injection,approved,discontinued,02.04.2013,2013,no,,,,,,,yes,,,sun,FDA,,fda,no,,
anda202308,,azithromycin,azithromycin,sandoz inc,,solution,ophthalmic,conditional marketing authorisation,none (conditional marketing authorisation),24.02.2014,2014,no,,,,,,,yes,,,sandoz,FDA,,fda,no,,
anda202793,,azithromycin,azithromycin,novel labs inc,,suspension,oral,conditional marketing authorisation,none (conditional marketing authorisation),26.08.2016,2016,no,,,,,,,yes,,,novel,FDA,,fda,no,,
