drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
clevidipine,TGA,HealthCanada,350,11.498028909329829,2010-04-12,2011-03-28,TGA -> HealthCanada
clobazam,HealthCanada,FDA,4855,159.49408672798947,1998-07-06,2011-10-21,HealthCanada -> FDA
clobazam,FDA,TGA,572,18.791064388961892,2011-10-21,2013-05-15,FDA -> TGA
clobetasol propionate,FDA,HealthCanada,354,11.629434954007884,1995-03-31,1996-03-19,FDA -> HealthCanada
clobetasol propionate,HealthCanada,TGA,6168,202.6281208935611,1996-03-19,2013-02-06,HealthCanada -> TGA
clofarabine,FDA,HealthCanada,1661,54.566360052562416,2004-12-28,2009-07-16,FDA -> HealthCanada
clofarabine,HealthCanada,EMA,3717,122.10906701708278,2009-07-16,2019-09-19,HealthCanada -> EMA
clofarabine,EMA,Swissmedic,665,21.846254927726676,2019-09-19,2021-07-15,EMA -> Swissmedic
clomipramine hydrochloride,FDA,HealthCanada,8761,287.8120893561104,1996-03-29,2020-03-24,FDA -> HealthCanada
clonazepam,HealthCanada,FDA,254,8.344283837056505,1995-12-31,1996-09-10,HealthCanada -> FDA
clonidine hydrochloride,FDA,HealthCanada,4114,135.15111695137975,1996-10-02,2008-01-07,FDA -> HealthCanada
clotrimazole,FDA,HealthCanada,306,10.052562417871222,1995-02-28,1995-12-31,FDA -> HealthCanada
clozapine,FDA,HealthCanada,2364,77.66097240473061,1996-08-30,2003-02-19,FDA -> HealthCanada
clozapine,HealthCanada,PMDA,2200,72.27332457293035,2003-02-19,2009-02-27,HealthCanada -> PMDA
cobicistat,FDA,EMA,332,10.90670170827858,2012-08-27,2013-07-25,FDA -> EMA
cobicistat,EMA,TGA,82,2.6938239159001314,2013-07-25,2013-10-15,EMA -> TGA
colchicine,FDA,HealthCanada,1242,40.80157687253614,2008-05-13,2011-10-07,FDA -> HealthCanada
colesevelam hydrochloride,FDA,HealthCanada,4136,135.87385019710905,2000-05-26,2011-09-22,FDA -> HealthCanada
colestipol hydrochloride,HealthCanada,FDA,3775,124.01445466491458,1995-12-31,2006-05-02,HealthCanada -> FDA
colistimethate sodium,FDA,TGA,4339,142.54270696452036,1999-02-26,2011-01-13,FDA -> TGA
colistimethate sodium,TGA,EMA,270,8.869908015768726,2011-01-13,2011-10-10,TGA -> EMA
colistimethate sodium,EMA,HealthCanada,4550,149.47437582128777,2011-10-10,2024-03-25,EMA -> HealthCanada
collagenase clostridium histolyticum,FDA,TGA,1274,41.85282522996058,2010-02-02,2013-07-30,FDA -> TGA
concentrate of proteolytic enzymes enriched in bromelain,EMA,Swissmedic,3500,114.98028909329828,2012-09-20,2022-04-21,EMA -> Swissmedic
concizumab,TGA,PMDA,28,0.9198423127463863,2023-07-03,2023-07-31,TGA -> PMDA
concizumab,PMDA,Swissmedic,8,0.2628120893561104,2023-07-31,2023-08-08,PMDA -> Swissmedic
concizumab,Swissmedic,EMA,436,14.323258869908015,2023-08-08,2024-10-17,Swissmedic -> EMA
corifollitropin alfa,EMA,TGA,244,8.015768725361367,2009-11-19,2010-07-21,EMA -> TGA
crisaborole,FDA,HealthCanada,540,17.73981603153745,2016-12-14,2018-06-07,FDA -> HealthCanada
crisaborole,HealthCanada,TGA,253,8.31143232588699,2018-06-07,2019-02-15,HealthCanada -> TGA
crisaborole,TGA,EMA,349,11.465177398160314,2019-02-15,2020-01-30,TGA -> EMA
crisantaspase,HealthCanada,EMA,321,10.545335085413928,2022-09-02,2023-07-20,HealthCanada -> EMA
crisantaspase,EMA,TGA,201,6.603153745072273,2023-07-20,2024-02-06,EMA -> TGA
crisantaspase,TGA,Swissmedic,72,2.3653088042049935,2024-02-06,2024-04-18,TGA -> Swissmedic
crizanlizumab,EMA,TGA,257,8.442838370565045,2020-07-23,2021-04-06,EMA -> TGA
crizotinib,FDA,PMDA,187,6.14323258869908,2011-08-26,2012-02-29,FDA -> PMDA
crizotinib,PMDA,HealthCanada,56,1.8396846254927726,2012-02-29,2012-04-25,PMDA -> HealthCanada
crizotinib,HealthCanada,EMA,85,2.7923784494086727,2012-04-25,2012-07-19,HealthCanada -> EMA
crizotinib,EMA,TGA,432,14.19185282522996,2012-07-19,2013-09-24,EMA -> TGA
crovalimab,PMDA,EMA,119,3.9093298291721417,2024-02-29,2024-06-27,PMDA -> EMA
cyclobenzaprine hydrochloride,FDA,HealthCanada,222,7.293035479632063,1995-05-23,1995-12-31,FDA -> HealthCanada
cyclopentolate hydrochloride,HealthCanada,FDA,379,12.450722733245728,1995-12-31,1997-01-13,HealthCanada -> FDA
cyclophosphamide,FDA,HealthCanada,203,6.668856767411301,1999-08-17,2000-03-07,FDA -> HealthCanada
cyclosporine,FDA,HealthCanada,170,5.5847568988173455,1995-07-14,1995-12-31,FDA -> HealthCanada
cyproheptadine hydrochloride,FDA,HealthCanada,2407,79.0735873850197,2003-09-30,2010-05-03,FDA -> HealthCanada
cytarabine,HealthCanada,FDA,828,27.201051248357423,1996-09-23,1998-12-30,HealthCanada -> FDA
dabigatran etexilate,EMA,TGA,2715,89.19185282522996,2008-03-18,2015-08-24,EMA -> TGA
dabrafenib,EMA,PMDA,949,31.176084099868593,2013-06-27,2016-02-01,EMA -> PMDA
dabrafenib mesilate,TGA,PMDA,1654,54.33639947437582,2013-08-21,2018-03-02,TGA -> PMDA
dacarbazine,FDA,HealthCanada,504,16.557161629434955,1998-08-27,2000-01-13,FDA -> HealthCanada
daclatasvir,EMA,PMDA,0,0.0,2014-06-26,2014-06-26,EMA -> PMDA
daclatasvir,PMDA,TGA,361,11.85939553219448,2014-06-26,2015-06-22,PMDA -> TGA
daclizumab,EMA,FDA,29,0.9526938239159001,2016-04-28,2016-05-27,EMA -> FDA
daclizumab,FDA,TGA,116,3.8107752956636003,2016-05-27,2016-09-20,FDA -> TGA
dacomitinib,FDA,PMDA,63,2.0696452036793693,2018-09-27,2018-11-29,FDA -> PMDA
dacomitinib,PMDA,EMA,63,2.0696452036793693,2018-11-29,2019-01-31,PMDA -> EMA
damoctocog alfa pegol,PMDA,EMA,22,0.7227332457293035,2018-08-29,2018-09-20,PMDA -> EMA
damoctocog alfa pegol,EMA,TGA,1643,53.975032851511166,2018-09-20,2023-03-21,EMA -> TGA
danaparoid sodium,HealthCanada,FDA,359,11.793692509855452,1995-12-31,1996-12-24,HealthCanada -> FDA
danicopan,PMDA,EMA,76,2.4967148488830486,2023-12-08,2024-02-22,PMDA -> EMA
danicopan,EMA,FDA,36,1.1826544021024967,2024-02-22,2024-03-29,EMA -> FDA
danicopan,FDA,Swissmedic,32,1.0512483574244416,2024-03-29,2024-04-30,FDA -> Swissmedic
danicopan,Swissmedic,HealthCanada,80,2.628120893561104,2024-04-30,2024-07-19,Swissmedic -> HealthCanada
dantrolene sodium,FDA,HealthCanada,6380,209.59264126149802,2005-03-01,2022-08-19,FDA -> HealthCanada
dapagliflozin,EMA,TGA,17,0.5584756898817346,2012-09-18,2012-10-05,EMA -> TGA
dapagliflozin,TGA,FDA,460,15.111695137976346,2012-10-05,2014-01-08,TGA -> FDA
dapagliflozin,FDA,PMDA,16,0.5256241787122208,2014-01-08,2014-01-24,FDA -> PMDA
dapagliflozin,PMDA,HealthCanada,3398,111.62943495400788,2014-01-24,2023-05-15,PMDA -> HealthCanada
dapsone,FDA,HealthCanada,343,11.268068331143231,2005-07-07,2006-06-15,FDA -> HealthCanada
dapsone,HealthCanada,TGA,3856,126.6754270696452,2006-06-15,2017-01-04,HealthCanada -> TGA
daptomycin,FDA,EMA,860,28.252299605781864,2003-09-12,2006-01-19,FDA -> EMA
daptomycin,EMA,HealthCanada,4180,137.31931668856768,2006-01-19,2017-06-30,EMA -> HealthCanada
daptomycin,HealthCanada,TGA,568,18.659658344283837,2017-06-30,2019-01-19,HealthCanada -> TGA
daratumumab,FDA,EMA,137,4.50065703022339,2015-11-16,2016-04-01,FDA -> EMA
daratumumab,EMA,HealthCanada,89,2.923784494086728,2016-04-01,2016-06-29,EMA -> HealthCanada
daratumumab,HealthCanada,PMDA,436,14.323258869908015,2016-06-29,2017-09-08,HealthCanada -> PMDA
daratumumab,PMDA,TGA,1489,48.91590013140604,2017-09-08,2021-10-06,PMDA -> TGA
darbepoetin alfa,EMA,FDA,26,0.8541392904073587,2001-08-22,2001-09-17,EMA -> FDA
