DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
102872,02539993,mekinist,trametinib,powder,oral,approved,24.07.2023,approved,novartis pharmaceuticals canada inc,2023,novartis,small molecule,HealthCanada
102873,02540002,axberi,enoxaparin sodium,solution,subcutaneous; intravenous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
102874,02540010,axberi,enoxaparin sodium,solution,intravenous; subcutaneous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
102875,02540029,axberi hp,enoxaparin sodium,solution,subcutaneous; intravenous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
102876,02540037,axberi hp,enoxaparin sodium,solution,intravenous; subcutaneous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
102877,02540045,axberi,enoxaparin sodium,solution,intravenous; subcutaneous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
102878,02540053,tafinlar,dabrafenib (dabrafenib mesylate),tablet for suspension,oral,approved,26.07.2023,approved,novartis pharmaceuticals canada inc,2023,novartis,small molecule,HealthCanada
102879,02540061,clonidine,clonidine hydrochloride,tablet,oral,approved,28.07.2023,approved,sivem pharmaceuticals ulc,2023,sivem,small molecule,HealthCanada
102880,02540088,smart spf 30 wrinkle correcting cream,homosalate; avobenzone; octinoxate; octisalate,cream,topical,approved,26.07.2023,approved,clinique laboratories dist,2023,clinique,small molecule,HealthCanada
102882,02540118,reddy-sitagliptin and metformin hydrochloride,metformin hydrochloride; sitagliptin (sitagliptin phosphate),tablet,oral,approved,27.07.2023,approved,dr reddy's laboratories ltd,2023,dr reddy's,small molecule,HealthCanada
102883,02540126,reddy-sitagliptin and metformin hydrochloride,sitagliptin (sitagliptin phosphate); metformin hydrochloride,tablet,oral,approved,27.07.2023,approved,dr reddy's laboratories ltd,2023,dr reddy's,small molecule,HealthCanada
102884,02540134,reddy-sitagliptin and metformin hydrochloride,metformin hydrochloride; sitagliptin (sitagliptin phosphate),tablet,oral,approved,27.07.2023,approved,dr reddy's laboratories ltd,2023,dr reddy's,small molecule,HealthCanada
102887,02540169,revitalift anti-wrinkle + firming,avobenzone; homosalate; octocrylene; octisalate,cream,topical,approved,31.07.2023,approved,l' oreal canada,2023,l'oreal,small molecule,HealthCanada
102889,02540185,erleada,apalutamide,tablet,oral,approved,02.08.2023,approved,janssen inc,2023,janssen,small molecule,HealthCanada
