MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
NDA022006,,FDA,SABRIL,VIGABATRIN,LUNDBECK PHARMS LLC,FOR SOLUTION,ORAL,Approved,21.08.2009,2009,authorised,no,Yes,No
NDA022007,,FDA,PERFOROMIST,FORMOTEROL FUMARATE,VIATRIS SPECIALTY,SOLUTION,INHALATION,Approved,11.05.2007,2007,authorised,no,Yes,No
NDA022008,,FDA,REQUIP XL,ROPINIROLE HYDROCHLORIDE,GLAXOSMITHKLINE LLC,"TABLET, EXTENDED RELEASE",ORAL,Approved,13.06.2008,2008,Discontinued,no,Yes,No
NDA022009,,FDA,ANTHELIOS 40,AVOBENZONE,LOREAL USA,CREAM,TOPICAL,Approved,31.03.2008,2008,authorised,no,Yes,No
NDA022010,,FDA,SEPTOCAINE,ARTICAINE HYDROCHLORIDE,DEPROCO,INJECTABLE,INJECTION,Approved,30.03.2006,2006,authorised,no,Yes,No
NDA022011,,FDA,TYZEKA,TELBIVUDINE,NOVARTIS,TABLET,ORAL,Approved,25.10.2006,2006,Discontinued,no,Yes,No
NDA022012,,FDA,COREG CR,CARVEDILOL PHOSPHATE,WAYLIS THERAP,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,20.10.2006,2006,Discontinued,no,Yes,No
NDA022013,,FDA,OLUX E,CLOBETASOL PROPIONATE,NORVIUM BIOSCIENCE,"AEROSOL, FOAM",TOPICAL,Approved,12.01.2007,2007,Discontinued,no,Yes,No
NDA022014,,FDA,EVAMIST,ESTRADIOL,PADAGIS US,SPRAY,TRANSDERMAL,Approved,27.07.2007,2007,authorised,no,Yes,No
NDA022015,,FDA,MIRALAX,POLYETHYLENE GLYCOL 3350,BAYER HEALTHCARE LLC,FOR SOLUTION,ORAL,Approved,06.10.2006,2006,authorised,no,Yes,No
NDA022016,,FDA,VAPRISOL,CONIVAPTAN HYDROCHLORIDE,CUMBERLAND PHARMS,INJECTABLE,INJECTION,Approved,28.02.2007,2007,authorised,no,No,No
NDA022018,,FDA,LAMIVUDINE AND ZIDOVUDINE,LAMIVUDINE,PHARMACARE,TABLET,ORAL,Approved,17.03.2017,2017,Discontinued,no,No,No
NDA022020,,FDA,PROTONIX,PANTOPRAZOLE SODIUM,WYETH PHARMS,"FOR SUSPENSION, DELAYED RELEASE",ORAL,Approved,14.11.2007,2007,authorised,no,Yes,No
NDA022021,,FDA,ALTACE,RAMIPRIL,KING PFIZER,TABLET,ORAL,Approved,27.02.2007,2007,Discontinued,no,Yes,No
NDA022023,,FDA,EMEND,FOSAPREPITANT DIMEGLUMINE,MERCK AND CO INC,POWDER,INTRAVENOUS,Approved,25.01.2008,2008,authorised,no,Yes,No
NDA022024,,FDA,ACTOPLUS MET XR,METFORMIN HYDROCHLORIDE,TAKEDA PHARMS USA,"TABLET, EXTENDED RELEASE",ORAL,Approved,12.05.2009,2009,Discontinued,no,Yes,No
NDA022025,,FDA,TOTECT,DEXRAZOXANE HYDROCHLORIDE,CLINIGEN,INJECTABLE,INJECTION,Approved,06.09.2007,2007,Discontinued,no,Yes,Yes
NDA022026,,FDA,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,SYNTHON PHARMS,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,27.09.2007,2007,Discontinued,no,Yes,No
NDA022027,,FDA,NOXAFIL,POSACONAZOLE,SCHERING,SUSPENSION,ORAL,Approved,20.10.2006,2006,authorised,no,No,No
NDA022028,,FDA,COSYNTROPIN,COSYNTROPIN,SANDOZ,SOLUTION,INTRAVENOUS,Approved,21.02.2008,2008,Discontinued,no,No,No
NDA022029,,FDA,SALONPAS,MENTHOL,HISAMITSU PHARM CO,PATCH,TOPICAL,Approved,20.02.2008,2008,authorised,no,Yes,No
NDA022030,,FDA,TOVIAZ,FESOTERODINE FUMARATE,PFIZER,"TABLET, EXTENDED RELEASE",ORAL,Approved,31.10.2008,2008,authorised,no,Yes,No
NDA022032,,FDA,OMEPRAZOLE,OMEPRAZOLE,DEXCEL PHARMA,"TABLET, DELAYED RELEASE",ORAL,Approved,04.12.2007,2007,authorised,no,Yes,No
NDA022033,,FDA,LUVOX CR,FLUVOXAMINE MALEATE,JAZZ PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,28.02.2008,2008,Discontinued,no,Yes,No
NDA022036,,FDA,SILENOR,DOXEPIN HYDROCHLORIDE,CURRAX,TABLET,ORAL,Approved,17.03.2010,2010,authorised,no,Yes,No
NDA022037,,FDA,INTUNIV,GUANFACINE HYDROCHLORIDE,TAKEDA PHARMS USA,"TABLET, EXTENDED RELEASE",ORAL,Approved,02.09.2009,2009,authorised,no,Yes,No
